bug_id,bug_key,group,run_id,selected_attempt_id,patch_hash,unique_patch_id,duplicate_group_size,plausible,developer_patch_available,evidence_stratum,defect_category,root_cause_related,semantic_equivalent,overfitting_risk,final_correctness,correctness_type,developer_patch_mechanism,generated_patch_mechanism,correctness_reason,audit_status,reviewer,second_review_required,second_reviewer,second_review_reason,correctness_basis
Collections-14,Collections-14,R,stage2_mve_formal_20260825T210517,1,f507bbaa706ae79cf2f671136bd9068f14c799fb805b5a6eb77aa9985b97defd,not_applicable,0,false,true,direct,API_USAGE,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Collections-14,Collections-14,C,stage2_mve_formal_20260825T210517,1,783167f75fe2b8b641ed6a3d00242718fd467d9bae6f5509ffb777b86d1feb5b,not_applicable,0,false,true,direct,API_USAGE,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Collections-26,Collections-26,A,stage2_mve_formal_20260825T210517,1,67fc4f4f5aa1363b9430ba9de2808f45a1b439797a7607f8f40c7c7dce8ae0fa,not_applicable,0,false,true,direct,OBJECT_PROTOCOL,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Collections-26,Collections-26,R,stage2_mve_formal_20260825T210517,1,05ca928c578eac349184a881dad733d729d4f02787b2e22e3659ee63f8461b3c,UP-03,2,true,true,direct,OBJECT_PROTOCOL,yes,yes,no,correct,developer_equivalent,Change MultiKey.readResolve() from private to protected so subclasses participate in deserialization-time hash recalculation.,The generated patch makes the identical private-to-protected visibility change.,"The generated patch exactly reproduces the developer repair and restores the intended serialization hook behavior for subclasses. Its API and warning-check rejection is a verifier-policy issue, not a semantic defect in this patch.",complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Collections-26,Collections-26,C,stage2_mve_formal_20260825T210517,2,05ca928c578eac349184a881dad733d729d4f02787b2e22e3659ee63f8461b3c,UP-03,2,true,true,direct,OBJECT_PROTOCOL,yes,yes,no,correct,developer_equivalent,Change MultiKey.readResolve() from private to protected so subclasses participate in deserialization-time hash recalculation.,The generated patch makes the identical private-to-protected visibility change.,"The generated patch exactly reproduces the developer repair and restores the intended serialization hook behavior for subclasses. Its API and warning-check rejection is a verifier-policy issue, not a semantic defect in this patch.",complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Jsoup-45,Jsoup-45,A,stage2_mve_formal_20260825T210517,1,0472d6f35e0150758b908f304e7ae6defdf95ef37ad3a232b1d66d22c36c622f,UP-02,3,true,true,direct,CONTROL_LOGIC,yes,alternative_semantics,no,correct,alternative_correct,Replace the duplicated td predicate with th so resetInsertionMode recognizes both table cell types.,Recognize td or th as one grouped predicate and apply the existing !last condition to both cell types.,"The generated patch repairs the repeated td condition and restores InCell selection for th, which is the root cause exercised by the trigger. Grouping td/th under !last is consistent with resetInsertionMode's last/context-element handling and introduces no broader bypass or hard-coded behavior.",complete,Codex developer-patch-grounded forensic audit,true,Codex independent evidence pass,"Reviewed the full resetInsertionMode control flow, the last flag's fragment-context role, and testReinsertionModeForThCelss. The generated precedence differs from the developer text but implements the same root repair with coherent alternative semantics.",developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Jsoup-45,Jsoup-45,R,stage2_mve_formal_20260825T210517,1,0472d6f35e0150758b908f304e7ae6defdf95ef37ad3a232b1d66d22c36c622f,UP-02,3,true,true,direct,CONTROL_LOGIC,yes,alternative_semantics,no,correct,alternative_correct,Replace the duplicated td predicate with th so resetInsertionMode recognizes both table cell types.,Recognize td or th as one grouped predicate and apply the existing !last condition to both cell types.,"The generated patch repairs the repeated td condition and restores InCell selection for th, which is the root cause exercised by the trigger. Grouping td/th under !last is consistent with resetInsertionMode's last/context-element handling and introduces no broader bypass or hard-coded behavior.",complete,Codex developer-patch-grounded forensic audit,true,Codex independent evidence pass,"Reviewed the full resetInsertionMode control flow, the last flag's fragment-context role, and testReinsertionModeForThCelss. The generated precedence differs from the developer text but implements the same root repair with coherent alternative semantics.",developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Jsoup-45,Jsoup-45,C,stage2_mve_formal_20260825T210517,1,0472d6f35e0150758b908f304e7ae6defdf95ef37ad3a232b1d66d22c36c622f,UP-02,3,true,true,direct,CONTROL_LOGIC,yes,alternative_semantics,no,correct,alternative_correct,Replace the duplicated td predicate with th so resetInsertionMode recognizes both table cell types.,Recognize td or th as one grouped predicate and apply the existing !last condition to both cell types.,"The generated patch repairs the repeated td condition and restores InCell selection for th, which is the root cause exercised by the trigger. Grouping td/th under !last is consistent with resetInsertionMode's last/context-element handling and introduces no broader bypass or hard-coded behavior.",complete,Codex developer-patch-grounded forensic audit,true,Codex independent evidence pass,"Reviewed the full resetInsertionMode control flow, the last flag's fragment-context role, and testReinsertionModeForThCelss. The generated precedence differs from the developer text but implements the same root repair with coherent alternative semantics.",developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Jsoup-89,Jsoup-89,A,stage2_mve_formal_20260825T210517,1,9b47c7654ccd2270a5ca1726de4eea6c2172f042e666ae64e70efbe7aacda366,UP-14,1,true,true,direct,NULL,yes,no,yes,incorrect,plausible_but_incorrect,"Use this.val for orphan attributes, but when a parent container exists read and return the parent's current value before updating it.",All generated variants always use the Attribute object's local val as oldVal and never refresh oldVal from the parent container.,"The generated patches remove the orphan NPE and pass settersOnOrphanAttribute, but omit the developer branch that preserves Map.Entry.setValue semantics for parent-backed attributes. If the parent value changes after an Attribute view is created, they return a stale old value; the repair is therefore incomplete and trigger-specific.",complete,Codex developer-patch-grounded forensic audit,true,Codex independent evidence pass,"Confirmed from Attributes.iterator(), which creates parent-backed Attribute views, and the Map.Entry-style setValue contract. The missing parent.get(key) branch has an observable counterexample and is not a cosmetic difference.",developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Jsoup-89,Jsoup-89,R,stage2_mve_formal_20260825T210517,1,6511fb5b5f8cac6b0fed03fc61bed7b213befbea1209e02cffb0389667672e9e,UP-09,1,true,true,direct,NULL,yes,no,yes,incorrect,plausible_but_incorrect,"Use this.val for orphan attributes, but when a parent container exists read and return the parent's current value before updating it.",All generated variants always use the Attribute object's local val as oldVal and never refresh oldVal from the parent container.,"The generated patches remove the orphan NPE and pass settersOnOrphanAttribute, but omit the developer branch that preserves Map.Entry.setValue semantics for parent-backed attributes. If the parent value changes after an Attribute view is created, they return a stale old value; the repair is therefore incomplete and trigger-specific.",complete,Codex developer-patch-grounded forensic audit,true,Codex independent evidence pass,"Confirmed from Attributes.iterator(), which creates parent-backed Attribute views, and the Map.Entry-style setValue contract. The missing parent.get(key) branch has an observable counterexample and is not a cosmetic difference.",developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Jsoup-89,Jsoup-89,C,stage2_mve_formal_20260825T210517,2,ffbef861dec80333cf2b3d9b836e2345990f3d1de83f3a1df904946ff4ce502b,UP-25,1,true,true,direct,NULL,yes,no,yes,incorrect,plausible_but_incorrect,"Use this.val for orphan attributes, but when a parent container exists read and return the parent's current value before updating it.",All generated variants always use the Attribute object's local val as oldVal and never refresh oldVal from the parent container.,"The generated patches remove the orphan NPE and pass settersOnOrphanAttribute, but omit the developer branch that preserves Map.Entry.setValue semantics for parent-backed attributes. If the parent value changes after an Attribute view is created, they return a stale old value; the repair is therefore incomplete and trigger-specific.",complete,Codex developer-patch-grounded forensic audit,true,Codex independent evidence pass,"Confirmed from Attributes.iterator(), which creates parent-backed Attribute views, and the Map.Entry-style setValue contract. The missing parent.get(key) branch has an observable counterexample and is not a cosmetic difference.",developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Lang-40,Lang-40,A,stage2_mve_formal_20260825T210517,1,6dc5892ca4760da92a3aa4e15e033105553262f1ee429e94f7e8ee2724112517,not_applicable,0,false,true,direct,API_USAGE,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Lang-40,Lang-40,R,stage2_mve_formal_20260825T210517,1,758fc8ed290cb6ace0dc524d030d2d702d45f700940b7a0416318029b4b083f6,not_applicable,0,false,true,direct,API_USAGE,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Lang-40,Lang-40,C,stage2_mve_formal_20260825T210517,1,758fc8ed290cb6ace0dc524d030d2d702d45f700940b7a0416318029b4b083f6,not_applicable,0,false,true,direct,API_USAGE,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Lang-62,Lang-62,A,stage2_mve_formal_20260825T210517,2,7b102cc3318814a8222e953fa6e5c0e444a3b0e77221d915119734f384731d62,not_applicable,0,false,true,direct,CONTROL_LOGIC,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Lang-62,Lang-62,R,stage2_mve_formal_20260825T210517,1,6cc7a9e6f6894bb00536d835ffc9dea151d2bb697449f21faed58d6a55c13935,not_applicable,0,false,true,direct,CONTROL_LOGIC,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Lang-62,Lang-62,C,stage2_mve_formal_20260825T210517,1,1b475c457c42832e8c240b41f05c8912df3670385597c1bcf8d1a7123cd3de0c,not_applicable,0,false,true,direct,CONTROL_LOGIC,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Math-91,Math-91,A,stage2_mve_formal_20260825T210517,1,d04ef4e525a6557a36d844d5310da0a05d81e81f0dba799a84605d33945a41b4,not_applicable,0,false,true,direct,OBJECT_PROTOCOL,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Math-91,Math-91,R,stage2_mve_formal_20260825T210517,1,07a0dca4e8d1e8df5a18e43461f9dff9b61e2ae4759fe47a7761da340bfc32aa,UP-04,1,true,true,direct,OBJECT_PROTOCOL,yes,yes,no,correct,developer_equivalent,Compare fractions by long cross multiplication instead of lossy double conversion.,Both generated variants perform the same long cross multiplication with only local variable naming/order differences.,"The generated patches are algebraically equivalent to the developer repair, avoid floating-point equality errors, and remain safe for int numerator/denominator products widened to long.",complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Math-91,Math-91,C,stage2_mve_formal_20260825T210517,1,bd6510244063ec6cc7ed70853fe5e9eeb264f2c6599325bd5b8ba1f931348ce1,UP-17,1,true,true,direct,OBJECT_PROTOCOL,yes,yes,no,correct,developer_equivalent,Compare fractions by long cross multiplication instead of lossy double conversion.,Both generated variants perform the same long cross multiplication with only local variable naming/order differences.,"The generated patches are algebraically equivalent to the developer repair, avoid floating-point equality errors, and remain safe for int numerator/denominator products widened to long.",complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Chart-1,Chart-1,A,stage2_mve_formal_20260825T210517,1,c67ee37b82c00e54def19cc805e17bf2ccef8a6d59407578ad41277f0eb13e0e,UP-18,1,true,true,direct,NULL,yes,yes,no,correct,developer_equivalent,Invert the erroneous dataset non-null early-return guard so only a null dataset returns before getRowCount().,All three generated diffs make the identical != to == guard inversion in getLegendItems().,The generated patches reproduce the developer fix at the same control-flow guard and restore both null safety and normal legend-item enumeration; the diffs differ only in context formatting.,complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Chart-1,Chart-1,R,stage2_mve_formal_20260825T210517,1,4c5df85dd3981643e70768b0a92839f340094909aca39f11a7dbca37853bfaba,UP-07,1,true,true,direct,NULL,yes,yes,no,correct,developer_equivalent,Invert the erroneous dataset non-null early-return guard so only a null dataset returns before getRowCount().,All three generated diffs make the identical != to == guard inversion in getLegendItems().,The generated patches reproduce the developer fix at the same control-flow guard and restore both null safety and normal legend-item enumeration; the diffs differ only in context formatting.,complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Chart-1,Chart-1,C,stage2_mve_formal_20260825T210517,1,cbd4912e7acde8737ee3519e582a015b6842790bd93f838f63d2422254c8038a,UP-19,1,true,true,direct,NULL,yes,yes,no,correct,developer_equivalent,Invert the erroneous dataset non-null early-return guard so only a null dataset returns before getRowCount().,All three generated diffs make the identical != to == guard inversion in getLegendItems().,The generated patches reproduce the developer fix at the same control-flow guard and restore both null safety and normal legend-item enumeration; the diffs differ only in context formatting.,complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Chart-4,Chart-4,A,stage2_mve_formal_20260825T210517,1,6d7d187129ca02fda5a59edfb85f6de931244a58fcf120b9348d9d25aeb83cd0,UP-10,1,true,true,direct,NULL,yes,yes,no,correct,developer_equivalent,Guard renderer annotation access with r != null after retaining the existing dataset-bound fallback for a null renderer.,All generated variants wrap r.getAnnotations() and its loop in the same r != null guard.,The generated patches match the developer control-flow repair and avoid the null dereference without suppressing dataset range computation or annotation handling when a renderer exists.,complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Chart-4,Chart-4,R,stage2_mve_formal_20260825T210517,1,21ec798311bdf14666ea4a00b3b2632a824c1b81b5958a50af226454141a9fad,UP-06,1,true,true,direct,NULL,yes,yes,no,correct,developer_equivalent,Guard renderer annotation access with r != null after retaining the existing dataset-bound fallback for a null renderer.,All generated variants wrap r.getAnnotations() and its loop in the same r != null guard.,The generated patches match the developer control-flow repair and avoid the null dereference without suppressing dataset range computation or annotation handling when a renderer exists.,complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Chart-4,Chart-4,C,stage2_mve_formal_20260825T210517,1,6f0cf0369612a6d53a4f3c6907724389f704301ca9d5dc3fa0cc8ed54726d85e,UP-11,1,true,true,direct,NULL,yes,yes,no,correct,developer_equivalent,Guard renderer annotation access with r != null after retaining the existing dataset-bound fallback for a null renderer.,All generated variants wrap r.getAnnotations() and its loop in the same r != null guard.,The generated patches match the developer control-flow repair and avoid the null dereference without suppressing dataset range computation or annotation handling when a renderer exists.,complete,Codex developer-patch-grounded forensic audit,false,,,developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Chart-17,Chart-17,A,stage2_mve_formal_20260825T210517,2,4b2ac242791918071ec72309257f24b32434e1d3cecb223180e5b9af62c074d0,not_applicable,0,false,true,direct,OBJECT_PROTOCOL,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Chart-17,Chart-17,R,stage2_mve_formal_20260825T210517,1,2f21a8daaff1b8edbc478ed45b6a2c9f2c83b7cdd54667188bc446cdfda2ff8d,not_applicable,0,false,true,direct,OBJECT_PROTOCOL,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Chart-17,Chart-17,C,stage2_mve_formal_20260825T210517,1,c28a983a0ff7b87dc230a925fec91ab5131da4e116f9f963a8c782d02305e8e0,not_applicable,0,false,true,direct,OBJECT_PROTOCOL,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
JacksonDatabind-3,JacksonDatabind-3,A,stage2_mve_formal_20260825T210517,1,63fe7939007b81937106676d3bee5f073fc416fd63d5aeb8e155403aa07a15c7,UP-08,2,true,true,direct,NULL,yes,no,yes,incorrect,plausible_but_incorrect,"Repair both StringArrayDeserializer paths: use literal null when no element deserializer exists, and use deser.getNullValue() in the custom-deserializer path.",The generated patches fix only the default path's null dereference and leave the custom-deserializer null semantics unchanged.,"The patch passes the trigger because that test exercises the default String[] path, but it omits the developer fix in _deserializeCustom. A custom element deserializer's defined null value is still discarded, so the repair is incomplete and test-overfitted.",complete,Codex developer-patch-grounded forensic audit,true,Codex independent evidence pass,"Confirmed against the complete developer diff, the _deserializeCustom implementation, JsonDeserializer.getNullValue(), and the analogous StringCollectionDeserializer behavior. The omitted branch has a concrete semantic obligation independent of textual patch equality.",developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
JacksonDatabind-3,JacksonDatabind-3,R,stage2_mve_formal_20260825T210517,1,63fe7939007b81937106676d3bee5f073fc416fd63d5aeb8e155403aa07a15c7,UP-08,2,true,true,direct,NULL,yes,no,yes,incorrect,plausible_but_incorrect,"Repair both StringArrayDeserializer paths: use literal null when no element deserializer exists, and use deser.getNullValue() in the custom-deserializer path.",The generated patches fix only the default path's null dereference and leave the custom-deserializer null semantics unchanged.,"The patch passes the trigger because that test exercises the default String[] path, but it omits the developer fix in _deserializeCustom. A custom element deserializer's defined null value is still discarded, so the repair is incomplete and test-overfitted.",complete,Codex developer-patch-grounded forensic audit,true,Codex independent evidence pass,"Confirmed against the complete developer diff, the _deserializeCustom implementation, JsonDeserializer.getNullValue(), and the analogous StringCollectionDeserializer behavior. The omitted branch has a concrete semantic obligation independent of textual patch equality.",developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
JacksonDatabind-3,JacksonDatabind-3,C,stage2_mve_formal_20260825T210517,1,a71639371bf6520c6e2b258b7838eebaf878edf411b6f9e6fa5704102aa9ce2a,UP-15,1,true,true,direct,NULL,yes,no,yes,incorrect,plausible_but_incorrect,"Repair both StringArrayDeserializer paths: use literal null when no element deserializer exists, and use deser.getNullValue() in the custom-deserializer path.",The generated patches fix only the default path's null dereference and leave the custom-deserializer null semantics unchanged.,"The patch passes the trigger because that test exercises the default String[] path, but it omits the developer fix in _deserializeCustom. A custom element deserializer's defined null value is still discarded, so the repair is incomplete and test-overfitted.",complete,Codex developer-patch-grounded forensic audit,true,Codex independent evidence pass,"Confirmed against the complete developer diff, the _deserializeCustom implementation, JsonDeserializer.getNullValue(), and the analogous StringCollectionDeserializer behavior. The omitted branch has a concrete semantic obligation independent of textual patch equality.",developer_patch+buggy_source+patched_source+fixed_source+trigger_and_full_test_logs
Chart-22,Chart-22,A,stage2_mve_formal_20260825T210517,2,730b59793caa630fd8cd8564fff0626604ac0af0176a21f25e1370ab48a75c45,not_applicable,0,false,true,supporting,CONTROL_LOGIC,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Chart-22,Chart-22,R,stage2_mve_formal_20260825T210517,2,07c8667f89bab18bb9a80232c6cd0e6d57134b70fc324311923958e8efe1c561,not_applicable,0,false,true,supporting,CONTROL_LOGIC,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
Chart-22,Chart-22,C,stage2_mve_formal_20260825T210517,1,ddac5cc38e777cbdefdfba6964f346c7776eb95772edb3707e31076169347c43,not_applicable,0,false,true,supporting,CONTROL_LOGIC,not_reviewed,no,not_applicable,incorrect,mechanical_failure,not_reviewed_due_to_mechanical_failure,failed_frozen_functional_oracle,Selected primary patch failed the frozen full-test/plausibility oracle and therefore cannot count as a correct repair.,complete,mechanical oracle,false,,,mechanical_failure
