unique_patch_id,patch_hash,member_count,bug_key,members,root_cause_related,semantic_equivalent,overfitting_risk,final_correctness,correctness_type,correctness_reason,second_review_required,second_reviewer,second_review_reason
UP-11,6f0cf0369612a6d53a4f3c6907724389f704301ca9d5dc3fa0cc8ed54726d85e,1,Chart-4,Chart-4:C:attempt1,yes,yes,no,correct,developer_equivalent,The generated patches match the developer control-flow repair and avoid the null dereference without suppressing dataset range computation or annotation handling when a renderer exists.,false,,
UP-12,70d1a17e0bce52c8f881f62a3109fc6e0083f3691e45f238ee418abecacf3294,1,Jsoup-41,Jsoup-41:A:attempt1,yes,yes,no,correct,developer_equivalent,The generated patches restore value-based Element equality consistently with the existing hashCode implementation and are semantically identical to the developer repair.,false,,
UP-13,854ed1591e33468cb47a43576d44afba61ade3efcc836f5c778deed2db56618a,2,Collections-1,Collections-1:R:attempt1|Collections-1:C:attempt1,yes,yes,no,correct,developer_equivalent,The generated patch is the complete developer repair and ensures that updating one Flat3Map entry changes only the selected slot.,false,,
UP-14,9b47c7654ccd2270a5ca1726de4eea6c2172f042e666ae64e70efbe7aacda366,1,Jsoup-89,Jsoup-89:A:attempt1,yes,no,yes,incorrect,plausible_but_incorrect,"The generated patches remove the orphan NPE and pass settersOnOrphanAttribute, but omit the developer branch that preserves Map.Entry.setValue semantics for parent-backed attributes. If the parent value changes after an Attribute view is created, they return a stale old value; the repair is therefore incomplete and trigger-specific.",true,Codex independent evidence pass,"Confirmed from Attributes.iterator(), which creates parent-backed Attribute views, and the Map.Entry-style setValue contract. The missing parent.get(key) branch has an observable counterexample and is not a cosmetic difference."
UP-15,a71639371bf6520c6e2b258b7838eebaf878edf411b6f9e6fa5704102aa9ce2a,1,JacksonDatabind-3,JacksonDatabind-3:C:attempt1,yes,no,yes,incorrect,plausible_but_incorrect,"The patch passes the trigger because that test exercises the default String[] path, but it omits the developer fix in _deserializeCustom. A custom element deserializer's defined null value is still discarded, so the repair is incomplete and test-overfitted.",true,Codex independent evidence pass,"Confirmed against the complete developer diff, the _deserializeCustom implementation, JsonDeserializer.getNullValue(), and the analogous StringCollectionDeserializer behavior. The omitted branch has a concrete semantic obligation independent of textual patch equality."
UP-16,ac456a4f135226531415bbd39331d0921d964afc893e3538abbfe62ca097a6bb,1,Jsoup-41,Jsoup-41:C:attempt1,yes,yes,no,correct,developer_equivalent,The generated patches restore value-based Element equality consistently with the existing hashCode implementation and are semantically identical to the developer repair.,false,,
UP-17,bd6510244063ec6cc7ed70853fe5e9eeb264f2c6599325bd5b8ba1f931348ce1,1,Math-91,Math-91:C:attempt1,yes,yes,no,correct,developer_equivalent,"The generated patches are algebraically equivalent to the developer repair, avoid floating-point equality errors, and remain safe for int numerator/denominator products widened to long.",false,,
UP-18,c67ee37b82c00e54def19cc805e17bf2ccef8a6d59407578ad41277f0eb13e0e,1,Chart-1,Chart-1:A:attempt1,yes,yes,no,correct,developer_equivalent,The generated patches reproduce the developer fix at the same control-flow guard and restore both null safety and normal legend-item enumeration; the diffs differ only in context formatting.,false,,
UP-19,cbd4912e7acde8737ee3519e582a015b6842790bd93f838f63d2422254c8038a,1,Chart-1,Chart-1:C:attempt1,yes,yes,no,correct,developer_equivalent,The generated patches reproduce the developer fix at the same control-flow guard and restore both null safety and normal legend-item enumeration; the diffs differ only in context formatting.,false,,
UP-20,d1d71c94210eb9c93386d7eb4e48747ef82e7f1fe02ba05e5cb7eb9da299932b,1,JacksonDatabind-29,JacksonDatabind-29:R:attempt3,yes,yes,no,correct,developer_equivalent,The generated patches cover both developer-modified paths and preserve non-null polymorphic deserialization while correctly handling explicit JSON null values.,false,,
UP-21,e21ba8b908582fa7fdcbe1546a14d541a104645f60c317781eccb17d1246561a,1,JacksonDatabind-29,JacksonDatabind-29:A:attempt1,yes,yes,no,correct,developer_equivalent,The generated patches cover both developer-modified paths and preserve non-null polymorphic deserialization while correctly handling explicit JSON null values.,false,,
UP-22,e313f8ab61381d062eb3f0ada4387e5bd00f7ce7fd3a65eb3586fd2c74fbcf2b,2,Chart-24,Chart-24:A:attempt1|Chart-24:C:attempt1,yes,yes,no,correct,developer_equivalent,"The generated change is textually and semantically the developer fix, preserving in-range behavior while correctly clamping values outside the configured bounds.",false,,
UP-23,e3c6df11c5ea2ba931a3c0c6c7f407f1afc9e117f96c13dfe36a796f10241da7,1,Jsoup-41,Jsoup-41:R:attempt1,yes,yes,no,correct,developer_equivalent,The generated patches restore value-based Element equality consistently with the existing hashCode implementation and are semantically identical to the developer repair.,false,,
UP-24,fa14c55e53a54c25574eaf17b042174b91f9d9360502a8b9c11f341fbfd30cbd,2,Codec-1,Codec-1:A:attempt1|Codec-1:C:attempt2,yes,yes,no,correct,developer_equivalent,The generated patches cover the complete developer change set and prevent locale-sensitive behavior while preserving the intended English phonetic algorithms.,false,,
UP-25,ffbef861dec80333cf2b3d9b836e2345990f3d1de83f3a1df904946ff4ce502b,1,Jsoup-89,Jsoup-89:C:attempt2,yes,no,yes,incorrect,plausible_but_incorrect,"The generated patches remove the orphan NPE and pass settersOnOrphanAttribute, but omit the developer branch that preserves Map.Entry.setValue semantics for parent-backed attributes. If the parent value changes after an Attribute view is created, they return a stale old value; the repair is therefore incomplete and trigger-specific.",true,Codex independent evidence pass,"Confirmed from Attributes.iterator(), which creates parent-backed Attribute views, and the Map.Entry-style setValue contract. The missing parent.get(key) branch has an observable counterexample and is not a cosmetic difference."
